id,,desc,,,id_id,desc2, p ,NA,a
115,,TRAPEADOR TELA DE MICRO FIBRA , $73.00 ,,15,N/A, $119 ,NA,NA
116,,ESCOBA VENECIANA , $55.00 ,,16,N/A, $89 ,NA,NA
117,,ESCOBA DE CEPILLO JUMBO RABER, $31.00 ,,16,N/A, $50 ,NA,NA
118,,ESCOBA DE CEPILLO MAXI , $29.00 ,,16,N/A, $47 ,NA,NA
119,,ESCOBA ABANICO , $30.50 ,,16,N/A, $50 ,NA,NA
120,,ESCOBA AUTOMÓVIL, $66.50 ,,16,N/A, $108 ,NA,NA
121,,ESCOBA ABEJA, $45.50 ,,16,N/A, $74 ,NA,NA
122,,ESCOBA ARCOÍRIS, $50.50 ,,16,N/A, $82 ,NA,NA
123,,ESCOBA ESPIGA NEGRA , $130.00 ,,16,N/A, $211 ,NA,NA
124,,RECOGEDOR LAMINA , $41.00 ,,16,N/A, $67 ,NA,NA
